YYYY,MM,DD,TMAX,TMIN,PRCP,SNOW,SNWD
2003,10,19,   19.0,   11.2,    0.0,-9999.0,-9999.0
2003,10,20,   23.1,   12.5,-9999.0,-9999.0,-9999.0
2003,10,21,   26.5,   12.5,-9999.0,-9999.0,-9999.0
2003,10,22,   25.5,   13.1,    0.0,-9999.0,-9999.0
2003,10,23,   27.4,   13.5,    0.0,-9999.0,-9999.0
2003,10,24,-9999.0,   13.9,    6.1,-9999.0,-9999.0
2003,10,25,   20.5,-9999.0,    3.0,-9999.0,-9999.0
2003,10,26,   17.5,-9999.0,    9.9,-9999.0,-9999.0
2003,10,27,   12.8,    6.4,    0.0,-9999.0,-9999.0
2003,10,28,    8.9,-9999.0,    5.6,-9999.0,-9999.0
2003,10,29,    6.8,   -1.8,    0.0,-9999.0,-9999.0
2003,10,30,   10.0,   -1.5,-9999.0,-9999.0,-9999.0
2003,10,31,-9999.0,    4.8,-9999.0,-9999.0,-9999.0
2003,11,01,   18.1,    9.3,-9999.0,-9999.0,-9999.0
2003,11,02,   18.5,    9.4,    0.0,-9999.0,-9999.0
2003,11,03,   22.8,    7.9,    0.0,-9999.0,-9999.0
2003,11,04,   23.2,   10.0,    0.0,-9999.0,-9999.0
2003,11,05,-9999.0,    7.1,-9999.0,-9999.0,-9999.0
2003,11,21,   14.7,-9999.0,-9999.0,-9999.0,-9999.0
2003,11,22,   17.1,    0.7,    0.0,-9999.0,-9999.0
2003,11,23,   15.3,    1.1,    0.0,-9999.0,-9999.0
2007,04,19,   11.0,-9999.0,-9999.0,-9999.0,-9999.0
2007,04,20,   13.9,    1.8,    0.0,-9999.0,-9999.0
2007,04,21,   19.9,    1.9,    0.0,-9999.0,-9999.0
2007,04,22,   21.5,    3.8,    0.0,-9999.0,-9999.0
2007,04,23,   15.3,-9999.0,-9999.0,-9999.0,-9999.0
2007,04,24,   16.3,    0.6,    0.0,-9999.0,-9999.0
2007,04,25,   19.6,    3.2,    0.0,-9999.0,-9999.0
2007,04,26,-9999.0,    6.2,-9999.0,-9999.0,-9999.0
2007,04,27,   21.5,-9999.0,-9999.0,-9999.0,-9999.0
2007,04,29,   12.9,-9999.0,    6.9,-9999.0,-9999.0
2007,04,30,-9999.0,    4.0,    0.3,-9999.0,-9999.0
2007,05,01,   20.7,    8.7,    1.0,-9999.0,-9999.0
2007,05,02,   19.9,    9.4,    5.6,-9999.0,-9999.0
2007,05,03,   20.0,    8.8,    0.0,-9999.0,-9999.0
2007,05,04,   23.3,-9999.0,-9999.0,-9999.0,-9999.0
2007,05,05,   26.3,    9.8,    0.0,-9999.0,-9999.0
2007,05,06,   29.4,   11.9,    0.0,-9999.0,-9999.0
2007,05,07,   32.4,   16.0,    0.0,-9999.0,-9999.0
2007,05,08,   27.4,   15.4,-9999.0,-9999.0,-9999.0
2007,05,09,-9999.0,   14.2,-9999.0,-9999.0,-9999.0
2013,05,28,   25.3,-9999.0,-9999.0,-9999.0,-9999.0
2013,05,29,   27.2,   10.5,    0.0,-9999.0,-9999.0
2013,05,30,   28.5,   14.8,    0.0,-9999.0,-9999.0
2013,05,31,   30.8,   12.4,    0.0,-9999.0,-9999.0
2013,06,01,   25.9,-9999.0,-9999.0,-9999.0,-9999.0
2013,06,02,   29.1,   12.1,    0.0,-9999.0,-9999.0
2013,06,03,   21.6,-9999.0,-9999.0,-9999.0,-9999.0
2013,06,04,   25.9,    8.3,    0.3,-9999.0,-9999.0
2013,06,05,   27.0,   11.1,    1.5,-9999.0,-9999.0
2013,06,06,-9999.0,   10.0,    6.1,-9999.0,-9999.0
2013,06,07,   24.8,    9.9,    0.5,-9999.0,-9999.0
2013,06,08,   25.4,-9999.0,    0.0,-9999.0,-9999.0
2013,06,09,   23.7,-9999.0,-9999.0,-9999.0,-9999.0
2013,06,10,   25.8,    9.7,    0.0,-9999.0,-9999.0
2013,06,11,   28.9,   13.1,    0.0,-9999.0,-9999.0
2013,06,12,   30.7,   16.2,    0.3,-9999.0,-9999.0
2013,06,13,   29.3,   13.6,    0.0,-9999.0,-9999.0
2013,06,14,   27.6,   13.0,    2.8,-9999.0,-9999.0
2013,06,15,   27.9,   13.5,    1.5,-9999.0,-9999.0
2013,06,16,   26.0,-9999.0,    0.0,-9999.0,-9999.0
2013,06,17,   23.6,   14.8,    0.0,-9999.0,-9999.0
2013,06,18,   29.3,   13.5,    0.0,-9999.0,-9999.0
2013,06,19,   30.6,   14.1,    0.0,-9999.0,-9999.0
2013,06,20,   27.8,   15.0,    0.0,-9999.0,-9999.0
2013,06,21,   27.1,   13.4,    0.0,-9999.0,-9999.0
2013,06,22,   28.8,   13.7,    0.0,-9999.0,-9999.0
2013,06,23,   31.5,   14.8,    0.0,-9999.0,-9999.0
2013,06,24,   33.9,   17.9,    0.0,-9999.0,-9999.0
2013,06,25,   34.1,   19.1,    0.0,-9999.0,-9999.0
2013,06,26,   34.5,   18.9,    0.0,-9999.0,-9999.0
2013,06,27,   34.8,   19.3,    0.0,-9999.0,-9999.0
2013,06,28,   36.1,   19.4,    0.0,-9999.0,-9999.0
2013,06,29,   35.4,-9999.0,-9999.0,-9999.0,-9999.0
2013,06,30,   32.9,-9999.0,    0.0,-9999.0,-9999.0
2013,07,01,   25.4,-9999.0,    0.0,-9999.0,-9999.0
2013,07,02,   23.3,-9999.0,    0.0,-9999.0,-9999.0
2013,07,03,   27.8,   11.8,    0.0,-9999.0,-9999.0
2013,07,04,   30.3,   12.7,    0.0,-9999.0,-9999.0
2013,07,05,   32.2,   16.7,    0.0,-9999.0,-9999.0
2013,07,06,   34.0,   18.5,    0.0,-9999.0,-9999.0
2013,07,07,   32.5,   19.0,    0.0,-9999.0,-9999.0
2013,07,08,   34.3,   20.6,    0.0,-9999.0,-9999.0
2013,07,09,   33.1,   19.6,    0.0,-9999.0,-9999.0
2013,07,10,   32.1,   18.6,    0.0,-9999.0,-9999.0
2013,07,11,   31.8,   19.7,    0.0,-9999.0,-9999.0
2013,07,12,   33.6,   18.6,    0.0,-9999.0,-9999.0
2013,07,13,   31.6,-9999.0,    0.8,-9999.0,-9999.0
2013,07,14,   33.0,   19.3,    0.0,-9999.0,-9999.0
2013,07,15,   33.2,-9999.0,    6.1,-9999.0,-9999.0
2013,07,16,   30.1,   17.1,   16.0,-9999.0,-9999.0
2013,07,17,   28.0,-9999.0,    0.0,-9999.0,-9999.0
2013,07,18,   24.7,-9999.0,    0.0,-9999.0,-9999.0
2013,07,19,   29.1,   14.1,    0.0,-9999.0,-9999.0
2013,07,20,   30.3,   16.1,    0.0,-9999.0,-9999.0
2013,07,21,   30.4,   16.9,    0.0,-9999.0,-9999.0
2013,07,22,   28.1,   14.9,    0.0,-9999.0,-9999.0
2013,07,23,   28.3,   15.5,    0.0,-9999.0,-9999.0
2013,07,24,   30.4,   15.9,    0.0,-9999.0,-9999.0
2013,07,25,   30.8,   16.0,    0.0,-9999.0,-9999.0
2013,07,26,   30.0,   15.0,    0.0,-9999.0,-9999.0
2013,07,27,   28.1,   15.1,    0.0,-9999.0,-9999.0
2013,07,28,   28.1,   13.8,    0.0,-9999.0,-9999.0
2013,07,29,   29.2,   14.7,    0.0,-9999.0,-9999.0
2013,07,30,   31.9,   16.4,    0.0,-9999.0,-9999.0
2013,07,31,   32.8,   17.3,    0.0,-9999.0,-9999.0
2013,08,01,   29.9,-9999.0,    0.0,-9999.0,-9999.0
2013,08,02,   30.5,   16.0,    0.0,-9999.0,-9999.0
2013,08,03,   32.3,   16.8,    0.0,-9999.0,-9999.0
2013,08,04,   30.2,   15.0,    0.0,-9999.0,-9999.0
2013,08,05,   29.0,   13.3,    0.0,-9999.0,-9999.0
2013,08,06,   29.4,   15.5,    0.0,-9999.0,-9999.0
